R,938,888,823,825,807,794,859,839,894,833
R,939,890,822,826,805,796,860,841,898,830
R,934,897,822,830,806,794,859,840,892,829
R,937,891,821,828,807,796,856,840,896,833
R,939,891,824,825,804,794,857,843,898,831
R,937,893,820,826,807,796,858,839,898,833
R,935,890,820,825,804,795,858,841,898,831
R,931,891,821,827,806,791,855,840,899,828
R,931,895,821,826,807,794,857,841,896,831
R,933,892,822,828,807,794,857,839,895,831
R,936,889,822,826,806,796,859,842,895,828
R,933,892,822,826,807,795,857,842,895,832
R,934,889,821,825,808,797,857,844,898,835
R,936,889,821,827,807,794,858,840,895,834
R,933,890,821,830,809,796,857,840,898,827
R,936,890,823,826,808,794,856,842,896,828
R,935,890,818,826,807,796,860,844,898,831
R,934,890,823,829,808,797,859,845,897,831
R,938,895,821,828,809,794,858,845,896,829
R,933,893,825,831,806,798,857,837,896,832
R,938,893,823,829,807,796,858,843,897,832
R,938,892,822,828,809,795,859,843,895,832
R,938,891,822,828,807,799,857,843,894,830
R,938,891,821,829,807,795,859,847,897,829
R,935,892,822,827,808,795,860,845,898,829
R,934,891,822,829,808,797,858,849,902,832
R,930,889,821,828,809,796,856,847,898,831
R,935,893,821,826,807,797,859,849,898,832
R,932,894,822,826,805,796,858,845,900,832
R,936,891,823,827,808,795,859,847,898,835
R,936,893,823,830,806,798,857,846,895,832
R,933,888,823,825,806,796,860,848,896,831
R,934,890,823,829,806,797,859,845,896,833
R,935,890,824,828,814,797,860,849,895,832
R,931,891,823,826,815,795,860,848,897,831
R,934,891,822,827,811,796,860,849,901,832
R,934,891,824,824,808,792,860,846,898,833
R,935,891,824,828,810,795,861,844,899,833
R,941,891,823,826,809,797,862,846,899,828
R,929,893,823,824,811,796,865,844,898,828
R,937,890,825,827,809,797,862,842,894,833
R,935,891,824,826,813,796,863,846,896,828
R,931,893,822,825,812,796,864,844,897,828
R,938,888,825,829,809,798,863,843,898,832
R,932,890,823,828,811,796,864,843,898,833
R,935,891,824,828,809,796,862,842,892,831
R,932,889,824,826,812,796,864,842,894,830
R,935,890,823,825,812,797,863,841,895,834
R,930,896,822,828,813,796,861,845,896,830
R,936,891,823,826,812,795,864,845,895,831
R,936,889,823,825,813,797,861,841,896,827
R,931,892,824,825,812,796,862,844,900,830
R,924,894,825,826,811,795,863,845,895,830
R,933,889,823,825,813,796,863,841,897,832
R,940,890,823,827,811,792,861,842,898,833
R,932,889,822,826,813,796,864,843,892,828
R,935,891,824,829,816,798,858,845,892,828
R,936,889,823,828,811,797,863,846,897,832
R,934,888,823,825,811,794,863,842,898,827
R,935,891,824,826,812,795,862,845,894,828
R,932,888,824,827,812,796,865,842,896,836
R,930,891,823,826,813,795,861,845,895,828
R,933,890,823,826,814,795,864,842,892,830
R,935,890,824,828,812,795,862,846,896,827
R,932,890,824,825,813,795,862,844,896,832
R,932,889,823,828,813,795,864,844,899,825
R,934,892,821,824,815,797,860,843,894,828
R,931,888,825,826,818,797,861,843,898,829
R,931,890,824,826,817,795,861,843,898,828
R,933,891,824,826,819,798,863,847,894,831
R,936,889,824,827,820,797,861,846,896,831
