N,921,794,861,816,867,822,835,847,837,824
N,918,803,868,827,883,828,851,848,862,822
N,921,801,865,829,878,828,833,856,866,827
N,913,809,864,824,881,828,847,854,845,836
N,916,806,858,832,883,833,844,852,874,822
N,919,795,863,828,880,827,840,839,878,810
N,924,807,871,816,884,822,850,841,874,811
N,917,803,874,818,885,824,856,853,876,817
N,917,809,871,824,885,826,857,847,868,820
N,917,814,854,832,884,833,868,862,802,838
N,926,809,830,824,880,830,824,855,817,828
N,938,797,860,825,872,832,834,828,864,803
N,923,804,871,828,879,826,850,847,866,827
N,929,802,868,824,880,827,814,849,861,816
N,926,801,876,825,884,826,819,844,831,841
N,929,793,876,825,888,829,855,847,866,815
N,934,796,879,812,872,824,801,838,823,839
N,931,799,865,820,871,827,836,848,866,822
N,919,798,863,830,876,827,817,858,836,831
N,933,795,870,828,879,829,842,858,842,825
N,926,794,869,825,875,826,842,840,813,824
N,914,801,873,822,877,824,810,845,830,830
N,929,812,855,827,872,829,811,847,820,827
N,921,810,850,821,865,824,808,844,824,831
N,930,806,838,823,863,822,816,836,793,827
N,924,805,855,827,872,828,812,848,815,833
N,922,804,852,820,868,823,812,846,817,827
N,910,816,853,820,867,824,802,852,819,831
N,934,807,848,808,857,820,789,840,817,821
N,927,806,855,827,863,828,837,841,812,824
