Y,921,843,933,817,911,809,865,814,758,713
Y,916,843,934,818,911,809,867,816,759,711
Y,918,843,933,819,909,810,865,814,758,712
Y,918,843,934,819,910,809,865,814,760,712
Y,920,842,933,818,909,808,866,815,760,712
Y,921,841,934,819,910,809,865,815,759,714
Y,920,842,933,818,910,807,866,815,760,712
Y,920,841,934,818,909,808,866,813,760,713
Y,921,840,934,818,909,810,864,816,757,712
Y,917,841,935,818,912,809,865,814,758,712
Y,917,841,931,818,909,809,865,814,760,713
Y,917,841,933,818,911,809,866,815,760,713
Y,921,843,934,817,911,809,866,814,758,713
Y,921,842,933,817,911,809,866,814,760,711
Y,916,843,933,817,911,808,865,815,758,712
Y,918,843,931,818,909,809,864,815,761,713
Y,920,840,933,818,910,808,866,815,758,713
Y,918,840,934,816,910,807,865,816,760,714
Y,918,843,933,817,911,808,865,815,760,712
Y,916,841,934,819,912,808,865,815,757,713
Y,928,842,934,817,910,808,866,814,758,713
Y,918,839,937,819,910,809,865,816,759,713
Y,919,841,934,817,912,808,865,816,758,713
Y,920,844,934,816,910,809,865,815,758,711
Y,918,841,933,818,911,810,865,815,760,713
Y,922,841,934,818,910,809,861,814,755,711
Y,915,844,934,817,912,808,865,815,759,713
Y,918,841,932,818,911,809,865,814,759,713
Y,919,841,932,817,911,808,865,816,758,713
Y,912,843,931,817,911,809,864,815,759,713
Y,922,842,933,818,910,808,866,815,758,713
Y,919,841,933,816,910,809,866,815,758,712
Y,918,842,932,818,910,809,865,814,757,710
Y,920,843,933,818,911,808,864,815,758,713
Y,920,842,934,817,910,808,866,815,759,712
Y,915,842,934,815,910,809,866,814,758,714
Y,918,844,932,819,910,809,865,814,758,713
Y,921,841,932,817,909,809,865,814,761,712
Y,919,841,936,815,908,809,864,815,758,714
Y,917,839,932,816,910,809,865,815,759,712
Y,920,844,933,820,913,807,866,815,759,713
Y,920,843,932,817,912,808,866,814,759,711
Y,923,841,931,817,911,809,866,815,761,713
Y,915,841,932,818,911,807,864,815,760,713
Y,915,843,931,817,910,807,864,815,760,711
Y,925,840,932,818,911,807,865,814,761,712
Y,914,842,931,819,910,811,864,815,760,711
Y,922,840,933,817,911,807,866,815,763,714
Y,921,840,931,817,911,808,865,814,762,711
Y,916,841,932,817,911,807,865,815,761,712
Y,920,842,931,819,913,808,864,814,763,713
Y,914,843,933,818,911,808,864,814,764,712
Y,902,840,934,816,911,810,864,813,764,712
Y,920,844,933,817,910,807,865,815,761,713
Y,918,842,932,818,911,808,865,814,762,713
Y,919,843,932,817,911,810,866,813,762,711
Y,918,844,931,818,912,808,864,815,761,713
Y,917,841,933,818,912,808,864,813,762,713
Y,913,842,932,817,911,807,864,815,763,712
Y,918,845,933,816,909,807,865,813,763,713
Y,916,843,931,817,912,808,865,814,763,713
Y,919,844,932,816,911,808,864,815,762,711
Y,910,840,934,819,912,808,864,815,760,712
Y,924,844,933,818,911,806,865,816,761,713
Y,917,841,934,817,913,808,865,814,759,713
Y,924,840,932,819,911,807,865,813,761,712
Y,922,843,933,816,912,809,864,813,761,712
Y,922,842,932,818,913,808,866,815,762,714
