K,897,837,814,769,830,812,888,804,882,800
K,899,837,814,770,828,811,889,805,881,800
K,901,836,814,770,829,811,886,804,882,800
K,896,838,814,770,830,811,889,804,881,800
K,901,835,814,769,830,811,888,805,882,800
K,899,836,814,769,833,812,889,805,881,799
K,896,837,814,770,830,811,888,804,880,799
K,897,838,810,771,834,812,888,802,881,801
K,901,836,814,771,834,812,889,805,881,800
K,898,836,814,769,835,811,887,803,879,799
K,898,837,815,771,832,812,888,804,882,799
K,898,835,815,769,831,811,888,803,880,800
K,902,837,815,768,833,811,887,803,880,799
K,898,837,815,768,827,814,888,804,880,801
K,901,836,815,770,831,811,888,804,881,799
K,898,836,812,771,831,811,888,804,882,800
K,900,833,814,768,828,811,888,803,880,799
K,901,836,815,770,831,810,888,804,881,799
K,900,837,815,770,830,811,887,804,880,801
K,901,836,814,770,829,810,888,803,881,799
K,903,838,813,771,829,811,888,803,882,799
K,898,834,814,770,830,811,888,803,882,799
K,900,835,814,768,832,810,888,802,881,798
K,901,837,815,769,829,810,888,803,880,799
K,899,835,813,770,828,810,888,804,881,799
K,897,835,815,769,830,810,888,803,880,799
K,897,837,815,770,830,811,888,803,879,799
K,900,837,815,770,828,812,886,803,880,798
K,901,837,815,770,829,812,888,803,880,799
K,901,839,816,770,831,810,887,803,879,799
K,900,838,815,769,829,811,889,804,880,798
K,901,838,815,771,830,810,888,803,880,798
K,901,838,815,771,829,811,888,803,881,798
K,900,838,817,771,826,814,887,806,881,798
K,901,838,816,768,830,811,888,802,881,798
K,902,845,815,770,830,810,886,803,881,796
K,898,849,815,770,829,810,889,804,879,798
K,905,849,816,770,827,810,888,803,880,797
K,903,849,815,771,828,810,889,804,880,798
K,904,851,814,771,827,811,889,805,878,797
K,906,852,814,770,826,812,889,803,879,798
K,905,851,814,772,827,810,890,804,880,797
K,906,851,815,772,827,812,890,804,880,796
K,907,853,814,771,826,809,889,804,878,795
K,908,856,814,771,828,810,889,804,879,796
K,906,853,814,771,826,811,888,804,879,796
K,907,853,816,773,826,809,891,802,878,797
K,907,853,815,773,826,811,890,805,878,795
K,906,855,814,772,827,810,891,805,879,797
K,905,853,815,772,827,811,891,804,878,796
K,910,851,815,773,827,813,891,803,880,794
K,907,853,814,773,826,811,889,805,881,796
K,911,853,812,774,826,812,890,804,881,795
K,911,854,814,774,827,812,892,804,880,795
K,910,852,817,770,829,812,890,804,881,796
K,908,853,815,774,827,812,891,806,879,796
K,909,851,816,775,829,813,890,805,880,795
K,907,853,814,775,828,812,890,803,876,797
K,906,853,813,774,830,812,891,805,879,795
K,908,853,815,775,830,812,891,805,880,796
K,912,854,814,776,830,813,890,805,879,796
K,909,853,814,774,829,812,890,802,885,793
K,906,853,814,774,829,813,892,805,880,796
K,907,851,815,775,827,812,895,805,880,796
K,907,852,814,775,826,811,895,804,876,792
K,910,853,815,775,827,811,890,804,879,795
K,908,853,815,774,826,812,891,805,881,797
K,910,852,815,775,827,811,891,804,879,795
K,906,850,813,774,826,809,887,804,879,796
K,909,851,814,775,828,812,889,806,879,794
K,909,850,815,774,828,812,889,806,879,797
K,909,854,815,774,829,811,890,804,880,797
K,908,853,815,775,835,811,890,806,878,795
K,906,852,814,774,831,812,889,806,880,796
K,906,852,815,774,827,812,891,807,878,797
K,909,851,815,774,828,814,890,806,879,797
K,911,852,816,775,827,814,890,807,879,796
K,908,850,815,774,828,814,888,806,880,797
K,906,850,814,773,827,813,888,806,880,795
K,909,852,815,775,827,814,889,808,877,796
K,904,847,815,775,829,814,888,806,878,796
K,911,849,814,774,827,814,889,805,879,796
K,906,850,815,773,827,812,890,806,878,797
K,906,851,816,772,828,815,889,806,878,796
K,909,851,815,774,828,814,889,807,878,798
K,908,850,816,775,828,815,889,805,879,795
K,905,851,814,770,826,814,888,805,880,796
K,905,851,816,773,830,814,887,805,879,797
